Time,Speed Tier,Actual Average Speed,Speed Difference,Date
1:00 am,100Mbps,97,3,Aug-21
2:00 am,100Mbps,97,3,Aug-21
3:00 am,100Mbps,97,3,Aug-21
4:00 am,100Mbps,97,3,Aug-21
5:00 am,100Mbps,97,3,Aug-21
6:00 am,100Mbps,97,3,Aug-21
7:00 am,100Mbps,97,3,Aug-21
8:00 am,100Mbps,97,3,Aug-21
9:00 am,100Mbps,97,3,Aug-21
10:00 am,100Mbps,97,3,Aug-21
11:00 am,100Mbps,97,3,Aug-21
12:00 pm,100Mbps,96,4,Aug-21
1:00 pm,100Mbps,96,4,Aug-21
2:00 pm,100Mbps,96,4,Aug-21
3:00 pm,100Mbps,96,4,Aug-21
4:00 pm,100Mbps,96,4,Aug-21
5:00 pm,100Mbps,96,4,Aug-21
6:00 pm,100Mbps,96,4,Aug-21
7:00 pm,100Mbps,96,4,Aug-21
8:00 pm,100Mbps,94,6,Aug-21
9:00 pm,100Mbps,95,5,Aug-21
10:00 pm,100Mbps,95,5,Aug-21
11:00 pm,100Mbps,96,4,Aug-21
12:00 am,100Mbps,97,3,Aug-21
1:00 am,100Mbps,95.7,4.3,Jun-21
2:00 am,100Mbps,95.7,4.3,Jun-21
3:00 am,100Mbps,95.7,4.3,Jun-21
4:00 am,100Mbps,95.7,4.3,Jun-21
5:00 am,100Mbps,95.7,4.3,Jun-21
6:00 am,100Mbps,94.8,5.2,Jun-21
7:00 am,100Mbps,94.8,5.2,Jun-21
8:00 am,100Mbps,94.8,5.2,Jun-21
9:00 am,100Mbps,94.8,5.2,Jun-21
10:00 am,100Mbps,94.8,5.2,Jun-21
11:00 am,100Mbps,94.8,5.2,Jun-21
12:00 pm,100Mbps,94.3,5.7,Jun-21
1:00 pm,100Mbps,94.3,5.7,Jun-21
2:00 pm,100Mbps,94.3,5.7,Jun-21
3:00 pm,100Mbps,94.3,5.7,Jun-21
4:00 pm,100Mbps,94.3,5.7,Jun-21
5:00 pm,100Mbps,94.3,5.7,Jun-21
6:00 pm,100Mbps,92.7,7.3,Jun-21
7:00 pm,100Mbps,93.7,6.3,Jun-21
8:00 pm,100Mbps,94.8,5.2,Jun-21
9:00 pm,100Mbps,93.8,6.2,Jun-21
10:00 pm,100Mbps,93.2,6.8,Jun-21
11:00 pm,100Mbps,93.1,6.9,Jun-21
12:00 am,100Mbps,95.7,4.3,Jun-21
1:00 am,100Mbps,87.02,12.98,Nov-18
2:00 am,100Mbps,87.02,12.98,Nov-18
3:00 am,100Mbps,87.02,12.98,Nov-18
4:00 am,100Mbps,87.02,12.98,Nov-18
5:00 am,100Mbps,87.02,12.98,Nov-18
6:00 am,100Mbps,87.02,12.98,Nov-18
7:00 am,100Mbps,87.03,12.97,Nov-18
