id,suburb,area,station_count,station_count_by_area,station_count_by_area_plus_1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.1,UNDERBOOL,0.03499479,7,200.0297754,201.0297754
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.2,NURRAN,0.035999298,3,83.33495916,84.33495916
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.3,WOORNDOO,0.033513969,8,238.7064334,239.7064334
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.4,DEPTFORD,0.03568663,1,28.021699,29.021699
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.5,YANAC,0.034454569,5,145.1186356,146.1186356
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.6,MINIMAY,0.027814589,6,215.7141369,216.7141369
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.7,GLEN FORBES,0.002657506,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.8,ADAMS ESTATE,2.21E-05,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.9,CARAG CARAG,0.005335175,1,187.4352783,188.4352783
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.10,CANNUM,0.012728908,2,157.1226655,158.1226655
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.11,WALLUP,0.015508313,3,193.4446435,194.4446435
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.12,MURRA WARRA,0.010402254,4,384.5320336,385.5320336
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.13,KALKEE,0.01252369,2,159.6973375,160.6973375
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.14,WAIL,0.010541325,2,189.7294645,190.7294645
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.15,PIMPINIO,0.017538853,8,456.1301634,457.1301634
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.16,DOOEN,0.011683747,14,1198.245719,1199.245719
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.17,VECTIS,0.014697129,3,204.1215012,205.1215012
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.18,QUANTONG,0.003539739,3,847.5200515,848.5200515
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.19,STANHOPE,0.007257753,7,964.4858528,965.4858528
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.20,TERRICK TERRICK,0.005846047,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.21,METCALFE EAST,0.001059246,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.22,OMEO,0.059596434,17,285.2519665,286.2519665
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.23,YAPEEN,0.002375826,1,420.9063048,421.9063048
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.24,LOGAN,0.012034349,1,83.09548284,84.09548284
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.25,TOM GROGGIN,0.051658476,2,38.71581523,39.71581523
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.26,TAMBOON,0.051916951,5,96.30765921,97.30765921
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.27,WONGUNGARRA,0.050220537,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.28,WILSONS PROMONTORY,0.04942534,7,141.6277551,142.6277551
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.29,GUILDFORD,0.005328569,3,563.0029817,564.0029817
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.30,WILLAURA,0.045330721,10,220.6009484,221.6009484
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.31,COBBERAS,0.045035299,1,22.20480438,23.20480438
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.32,MACLEOD,0.000467523,11,23528.2344,23529.2344
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.33,HEIDELBERG WEST,0.0003278,19,57962.23669,57963.23669
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.34,MONEGEETTA,0.002620665,6,2289.49495,2290.49495
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.35,PERONNE,0.028599666,1,34.96544331,35.96544331
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.36,TUTYE,0.024914163,3,120.4134355,121.4134355
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.37,MOORALLA,0.024281602,3,123.5503336,124.5503336
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.38,DUNKELD,0.029690061,15,505.2195742,506.2195742
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.39,SUGGAN BUGGAN,0.02408104,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.40,BAW BAW,0.02345866,4,170.5127231,171.5127231
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.41,LARPENT,0.005309607,6,1130.027046,1131.027046
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.42,MURROON,0.004643413,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.43,WAHRING,0.011197152,7,625.1589709,626.1589709
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.44,COOJAR,0.009146654,1,109.3295966,110.3295966
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.45,SEAVIEW,0.003213268,3,933.6290832,934.6290832
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.46,LABERTOUCHE,0.006580369,1,151.9671662,152.9671662
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.47,DEEPDENE,8.73E-05,3,34380.50052,34381.50052
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.48,DROUIN WEST,0.002433823,2,821.7524879,822.7524879
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.49,JINDIVICK,0.007528303,2,265.6641383,266.6641383
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.50,GREENS CREEK,0.019998535,1,50.00366346,51.00366346
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.51,MURRAYVILLE,0.051915279,14,269.6701307,270.6701307
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.52,EDENHOPE,0.050528948,13,257.2782637,258.2782637
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.53,WARRACKNABEAL,0.029102197,16,549.7866656,550.7866656
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.54,DARTMOOR,0.029388762,10,340.2661215,341.2661215
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.55,DANDONGADALE,0.0304171,3,98.62873298,99.62873298
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.56,GELANTIPY,0.025097363,3,119.5344718,120.5344718
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.57,LINGA,0.026342107,2,75.92407005,76.92407005
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.58,BOINKA,0.027327098,0,0,1
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.59,TENBY POINT,0.000119606,2,16721.57154,16722.57154
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.60,CORONET BAY,0.000515227,3,5822.680127,5823.680127
ckan_af33dd8c_0534_4e18_9245_fc64440f742e.61,CORINELLA,0.001584632,5,3155.307587,3156.307587
